running 808 tests
test mutex_4t_001p ... bench:   2,179,573 ns/iter (+/- 596,023)
test mutex_4t_002p ... bench:   2,144,462 ns/iter (+/- 423,493)
test mutex_4t_003p ... bench:   2,179,267 ns/iter (+/- 516,222)
test mutex_4t_004p ... bench:   2,105,084 ns/iter (+/- 451,516)
test mutex_4t_005p ... bench:   2,189,595 ns/iter (+/- 565,860)
test mutex_4t_006p ... bench:   2,144,524 ns/iter (+/- 686,059)
test mutex_4t_007p ... bench:   2,196,594 ns/iter (+/- 612,536)
test mutex_4t_008p ... bench:   2,065,752 ns/iter (+/- 479,219)
test mutex_4t_009p ... bench:   2,048,521 ns/iter (+/- 624,204)
test mutex_4t_010p ... bench:   2,112,945 ns/iter (+/- 414,606)
test mutex_4t_011p ... bench:   2,105,474 ns/iter (+/- 503,731)
test mutex_4t_012p ... bench:   2,217,646 ns/iter (+/- 513,823)
test mutex_4t_013p ... bench:   2,067,140 ns/iter (+/- 505,296)
test mutex_4t_014p ... bench:   2,186,656 ns/iter (+/- 506,084)
test mutex_4t_015p ... bench:   2,231,692 ns/iter (+/- 533,862)
test mutex_4t_016p ... bench:   2,140,623 ns/iter (+/- 614,851)
test mutex_4t_017p ... bench:   2,193,747 ns/iter (+/- 525,905)
test mutex_4t_018p ... bench:   2,186,369 ns/iter (+/- 623,124)
test mutex_4t_019p ... bench:   2,137,102 ns/iter (+/- 535,220)
test mutex_4t_020p ... bench:   2,224,355 ns/iter (+/- 495,008)
test mutex_4t_021p ... bench:   2,155,566 ns/iter (+/- 474,714)
test mutex_4t_022p ... bench:   2,137,516 ns/iter (+/- 603,946)
test mutex_4t_023p ... bench:   2,216,471 ns/iter (+/- 543,855)
test mutex_4t_024p ... bench:   2,142,080 ns/iter (+/- 465,474)
test mutex_4t_025p ... bench:   2,155,415 ns/iter (+/- 497,272)
test mutex_4t_026p ... bench:   2,305,243 ns/iter (+/- 543,074)
test mutex_4t_027p ... bench:   2,089,984 ns/iter (+/- 484,381)
test mutex_4t_028p ... bench:   2,092,741 ns/iter (+/- 477,892)
test mutex_4t_029p ... bench:   2,264,114 ns/iter (+/- 504,672)
test mutex_4t_030p ... bench:   2,368,797 ns/iter (+/- 509,300)
test mutex_4t_031p ... bench:   2,372,870 ns/iter (+/- 651,630)
test mutex_4t_032p ... bench:   2,330,842 ns/iter (+/- 656,805)
test mutex_4t_033p ... bench:   2,424,301 ns/iter (+/- 493,288)
test mutex_4t_034p ... bench:   2,383,521 ns/iter (+/- 452,762)
test mutex_4t_035p ... bench:   2,486,183 ns/iter (+/- 609,659)
test mutex_4t_036p ... bench:   2,468,702 ns/iter (+/- 589,191)
test mutex_4t_037p ... bench:   2,465,316 ns/iter (+/- 710,550)
test mutex_4t_038p ... bench:   2,450,296 ns/iter (+/- 529,970)
test mutex_4t_039p ... bench:   2,357,019 ns/iter (+/- 521,883)
test mutex_4t_040p ... bench:   2,454,852 ns/iter (+/- 612,116)
test mutex_4t_041p ... bench:   2,444,022 ns/iter (+/- 653,176)
test mutex_4t_042p ... bench:   2,560,528 ns/iter (+/- 680,378)
test mutex_4t_043p ... bench:   2,484,206 ns/iter (+/- 551,732)
test mutex_4t_044p ... bench:   2,518,436 ns/iter (+/- 729,073)
test mutex_4t_045p ... bench:   2,507,486 ns/iter (+/- 601,595)
test mutex_4t_046p ... bench:   2,511,795 ns/iter (+/- 696,855)
test mutex_4t_047p ... bench:   2,631,394 ns/iter (+/- 673,583)
test mutex_4t_048p ... bench:   2,599,497 ns/iter (+/- 718,675)
test mutex_4t_049p ... bench:   2,656,700 ns/iter (+/- 680,972)
test mutex_4t_050p ... bench:   2,660,109 ns/iter (+/- 580,207)
test mutex_4t_051p ... bench:   2,668,471 ns/iter (+/- 767,635)
test mutex_4t_052p ... bench:   2,701,146 ns/iter (+/- 783,679)
test mutex_4t_053p ... bench:   2,702,181 ns/iter (+/- 689,487)
