running 808 tests
test mutex_4t_018p ... bench:   1,531,488 ns/iter (+/- 268,057)
test mutex_4t_019p ... bench:   1,535,392 ns/iter (+/- 288,978)
test mutex_4t_020p ... bench:   1,540,683 ns/iter (+/- 308,633)
test mutex_4t_021p ... bench:   1,565,288 ns/iter (+/- 252,828)
test mutex_4t_022p ... bench:   1,555,353 ns/iter (+/- 312,049)
test mutex_4t_023p ... bench:   1,595,555 ns/iter (+/- 319,042)
test mutex_4t_024p ... bench:   1,548,123 ns/iter (+/- 237,021)
test mutex_4t_025p ... bench:   1,562,217 ns/iter (+/- 264,201)
test mutex_4t_026p ... bench:   1,579,973 ns/iter (+/- 239,739)
test mutex_4t_027p ... bench:   1,563,134 ns/iter (+/- 347,698)
test mutex_4t_028p ... bench:   1,588,539 ns/iter (+/- 259,874)
test mutex_4t_029p ... bench:   1,566,964 ns/iter (+/- 270,578)
test mutex_4t_030p ... bench:   1,591,739 ns/iter (+/- 269,134)
test mutex_4t_031p ... bench:   1,571,598 ns/iter (+/- 307,726)
test mutex_4t_032p ... bench:   1,614,237 ns/iter (+/- 277,484)
test mutex_4t_033p ... bench:   1,588,495 ns/iter (+/- 306,577)
test mutex_4t_034p ... bench:   1,588,794 ns/iter (+/- 281,030)
test mutex_4t_035p ... bench:   1,600,020 ns/iter (+/- 255,326)
test mutex_4t_036p ... bench:   1,617,513 ns/iter (+/- 311,476)
test mutex_4t_037p ... bench:   1,611,541 ns/iter (+/- 258,692)
test mutex_4t_038p ... bench:   1,608,470 ns/iter (+/- 231,901)
test mutex_4t_039p ... bench:   1,600,882 ns/iter (+/- 283,470)
test mutex_4t_040p ... bench:   1,648,980 ns/iter (+/- 289,823)
test mutex_4t_041p ... bench:   1,608,060 ns/iter (+/- 257,577)
test mutex_4t_042p ... bench:   1,635,744 ns/iter (+/- 278,616)
test mutex_4t_043p ... bench:   1,637,210 ns/iter (+/- 293,723)
test mutex_4t_044p ... bench:   1,621,949 ns/iter (+/- 279,048)
test mutex_4t_045p ... bench:   1,644,607 ns/iter (+/- 317,230)
test mutex_4t_046p ... bench:   1,653,308 ns/iter (+/- 292,432)
test mutex_4t_047p ... bench:   1,659,013 ns/iter (+/- 292,371)
test mutex_4t_048p ... bench:   1,638,439 ns/iter (+/- 288,434)
test mutex_4t_049p ... bench:   1,658,999 ns/iter (+/- 312,505)
test mutex_4t_050p ... bench:   1,727,790 ns/iter (+/- 361,846)
test mutex_4t_051p ... bench:   1,691,165 ns/iter (+/- 304,140)
test mutex_4t_052p ... bench:   1,696,421 ns/iter (+/- 291,052)
test mutex_4t_053p ... bench:   1,693,018 ns/iter (+/- 243,787)
test mutex_4t_054p ... bench:   1,694,551 ns/iter (+/- 319,798)
test mutex_4t_055p ... bench:   1,694,464 ns/iter (+/- 343,546)
test mutex_4t_056p ... bench:   1,718,370 ns/iter (+/- 296,182)
test mutex_4t_057p ... bench:   1,717,924 ns/iter (+/- 350,440)
test mutex_4t_058p ... bench:   1,756,749 ns/iter (+/- 253,593)
test mutex_4t_059p ... bench:   1,753,268 ns/iter (+/- 317,203)
test mutex_4t_060p ... bench:   1,770,168 ns/iter (+/- 274,344)
test mutex_4t_061p ... bench:   1,776,359 ns/iter (+/- 248,315)
test mutex_4t_062p ... bench:   1,753,264 ns/iter (+/- 295,986)
test mutex_4t_063p ... bench:   1,817,213 ns/iter (+/- 417,875)
test mutex_4t_064p ... bench:   1,832,651 ns/iter (+/- 279,494)
test mutex_4t_065p ... bench:   1,843,450 ns/iter (+/- 296,675)
test mutex_4t_066p ... bench:   1,838,143 ns/iter (+/- 343,929)
test mutex_4t_067p ... bench:   1,880,543 ns/iter (+/- 355,550)
test mutex_4t_068p ... bench:   1,913,002 ns/iter (+/- 366,232)
